"학제별","설립별","대학명","지역별","입학정원 합(명)","평균입학금(원)","평균등록금(원)"
"전문대학","사립","인하공업전문대학","인천","5591","269000","6640000"
"전문대학","사립","장안대학교","경기","4497","255000","6241235"
"전문대학","사립","전남과학대학교","전남","2950","180000","5113803"
"전문대학","사립","전북과학대학교","전북","1462","169950","5342960"
"전문대학","사립","전주기전대학","전북","2076","181500","5986917"
"전문대학","사립","전주비전대학교","전북","2583","214500","5905558"
"전문대학","사립","제주관광대학교","제주","2337","188000","4817710"
"전문대학","사립","제주한라대학교","제주","4646","175500","5057331"
"전문대학","사립","조선간호대학교","광주","556","189750","5058000"
"전문대학","사립","조선이공대학교","광주","3018","235500","5490596"
"전문대학","사립","진주보건대학교","경남","2307","198000","5868471"
"전문대학","사립","창원문성대학교","경남","2102","188000","5713168"
"전문대학","사립","청강문화산업대학교","경기","3398","229000","6942773"
"전문대학","사립","청암대학교","전남","2727","182490","5320915"
"전문대학","사립","춘해보건대학교","울산","2156","202000","6066950"
"전문대학","사립","충북보건과학대학교","충북","2516","214500","6117895"
"전문대학","사립","충청대학교","충북","3650","214500","5808565"
"전문대학","사립","포항대학교","경북","1744","165000","6060459"
"전문대학","사립","한국골프대학교","강원","480","165000","7887500"
"전문대학","사립","한국관광대학교","경기","1860","227370","6181817"
"전문대학","사립","한국승강기대학교","경남","594","267300","6746000"
"전문대학","사립","한국영상대학교","세종","3086","143753","6074388"
"전문대학","사립","한국폴리텍 I 대학 서울강서캠퍼스","서울","515","0","2494000"
"전문대학","사립","한국폴리텍 I 대학 서울정수캠퍼스","서울","1065","0","2494000"
"전문대학","사립","한국폴리텍 I 대학 성남캠퍼스","경기","740","0","2432000"
"전문대학","사립","한국폴리텍 I 대학 제주캠퍼스","제주","50","0","2164000"
"전문대학","사립","한국폴리텍 II 대학 남인천캠퍼스","인천","80","0","2494000"
"전문대학","사립","한국폴리텍 II 대학 인천캠퍼스","인천","1660","0","2494000"
"전문대학","사립","한국폴리텍 II 대학 화성캠퍼스","경기","0","0","0"
"전문대학","사립","한국폴리텍 III 대학 강릉캠퍼스","강원","120","0","2531500"
"전문대학","사립","한국폴리텍 III 대학 원주캠퍼스","강원","100","0","2174000"
"전문대학","사립","한국폴리텍 III 대학 춘천캠퍼스","강원","250","0","2432000"
"전문대학","사립","한국폴리텍 IV 대학 대전캠퍼스","대전","760","0","2432000"
"전문대학","사립","한국폴리텍 IV 대학 아산캠퍼스","충남","450","0","2432000"
"전문대학","사립","한국폴리텍 IV 대학 청주캠퍼스","충북","650","0","2432000"
"전문대학","사립","한국폴리텍 IV 대학 홍성캠퍼스","충남","225","0","2164000"
"전문대학","사립","한국폴리텍 V 대학 광주캠퍼스","광주","740","0","2432000"
"전문대학","사립","한국폴리텍 V 대학 순천캠퍼스","전남","0","0","0"
"전문대학","사립","한국폴리텍 V 대학 익산캠퍼스","전북","100","0","2432000"
"전문대학","사립","한국폴리텍 V 대학 전남캠퍼스","전남","200","0","2164000"
"전문대학","사립","한국폴리텍 V 대학 전북캠퍼스","전북","480","0","2321000"
"전문대학","사립","한국폴리텍 VI 대학 구미캠퍼스","경북","495","0","2432000"
"전문대학","사립","한국폴리텍 VI 대학 대구캠퍼스","대구","570","0","2432000"
"전문대학","사립","한국폴리텍 VI 대학 영남융합기술캠퍼스","대구","325","0","2338385"
"전문대학","사립","한국폴리텍 VI 대학 영주캠퍼스","경북","55","0","2164000"
"전문대학","사립","한국폴리텍 VII 대학 동부산캠퍼스","부산","20","0","1215000"
"전문대학","사립","한국폴리텍 VII 대학 부산캠퍼스","부산","770","0","2432000"
"전문대학","사립","한국폴리텍 VII 대학 울산캠퍼스","울산","650","0","2432000"
"전문대학","사립","한국폴리텍 VII 대학 진주캠퍼스","경남","0","0","0"
"전문대학","사립","한국폴리텍 VII 대학 창원캠퍼스","경남","1200","0","2432000"
"전문대학","사립","한국폴리텍 특성화대학 로봇캠퍼스","경북","200","0","1082000"
"전문대학","사립","한국폴리텍 특성화대학 바이오캠퍼스","충남","360","0","2595000"
"전문대학","사립","한국폴리텍 특성화대학 반도체융합캠퍼스","경기","660","0","2432000"
"전문대학","사립","한국폴리텍 특성화대학 항공캠퍼스","경남","480","0","2433500"
"전문대학","사립","한림성심대학교","강원","2503","217500","5634247"
